link,product_name,keywords,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,itemId,shopId
https://www.lazada.co.th/products/nim-nim-100-i2785431035.html,Nim Nim เส้น นิ่มนิ่ม เส้นคีโต​ เส้นไข่ขาว​คีโต​ เส้นไข่ขาวนิ่มๆ​ อร่อยสุดในบรรดา​เส้น​ ขนาด100​กรัม,เส้นไข่ขาว,กรุงเทพมหานคร,4.956896551724138,232,2.7K ชิ้น,"เส้นหมี่ ขาว, เส้นไข่ขาว, เส้นเหลืองสปาเก็ตตี้",85,69,19%,Health & Beauty,,lazada,2785431035,100137408
https://www.lazada.co.th/products/eggyday-100g-i5223630191.html,Eggyday (เอกกี้เดย์) เส้นราเมนโปรตีนไข่ขาว เส้นหมี่ไข่ขาว ข้าวไข่ขาว พร้อมทาน 100g ของแท้ส่งไว!!,"โปรตีนไข่ขาว, เส้นหมี่ไข่ขาว, ข้าวไข่ขาว",กรุงเทพมหานคร,4.6,5,40 ชิ้น,"เส้นราเมนไข่ขาว, เส้นหมี่ ไข่ขาว, ข้าวไข่ขาว",134,67,50%,HealthyPop,,lazada,5223630191,100238574983
https://www.lazada.co.th/products/nim-nim-100-3-i2897936228.html,Nim Nim นิ่มนิ่ม เส้นหมี่ไข่ขาว สปาเก็ตตี้ไร้แป้ง คีโต 100 กรัม คุมน้ำหนัก 3 เเบบ ราคาพิเศษ,เส้นหมี่ไข่ขาว,กรุงเทพมหานคร,4.918367346938775,147,2.2K ชิ้น,"เส้นไข่ขาว, เส้นหมี่ขาว, เส้นเหลือง สปาเก็ตตี",89,69,22%,PROHEALTH,,lazada,2897936228,100148953
https://www.lazada.co.th/products/eggyday-i4871678452.html,Eggyday เส้นไข่ขาว ไม่มีแป้งผสม,เส้นไข่ขาว,ยะลา,5.0,18,85 ชิ้น,"เส้นกลมไข่ขาว, เส้นหมี่ไข่ขาว",79,79,,Thank you keto,,lazada,4871678452,100139116
https://www.lazada.co.th/products/eggyday-100g-3-i4572140391.html,Eggyday เส้นหมี่โปรตีนไข่ขาว 100g จำนวน 3 ซอง,"โปรตีนไข่ขาว, เส้นหมี่โปรตีนไข่ขาว",สมุทรปราการ,4.96078431372549,51,146 ชิ้น,,237,199,16%,Happyshoppingofficial,,lazada,4572140391,100183137045
https://www.lazada.co.th/products/nimnim-100-i5144646396.html,เส้นไข่ขาว เส้นหมี่ไข่ขาว เส้นสปาเก็ตตี้ไข่ขาว เส้นคีโตน nimnim นิ่มนิ่ม ล็อตใหม่ เส้นไข่ขาว 100% โปรตีนแน่น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",กรุงเทพมหานคร,4.951612903225806,62,385 ชิ้น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว, เส้นสปาเก็ตตี้ไข่ขาว",85,69,19%,Rich Healthcare,,lazada,5144646396,100255833084
https://www.lazada.co.th/products/eggyday-100-i5312522015.html,Eggyday  เส้นไข่ขาว 100 กรัม (เอ้กกี้เดย์),เส้นไข่ขาว,สมุทรปราการ,,,,"เส้นหมี่ไข่ขาว, เส้นราเมน EXP11/24, ไข่ขาวรูปข้าว",79,72,9%,SabuyjaiOfficial,,lazada,5312522015,1000141323
https://www.lazada.co.th/products/nimnim-i4828666363.html,คละได้!!เส้นไข่ขาวนิ่มนิ่ม ไร้แป้ง ไร้ไขมัน Nimnim คีโตทานได้ คละได้,เส้นไข่ขาว,กรุงเทพมหานคร,4.925170068027211,146,644 ชิ้น,เส้นสปาเกตตีไร้แป้ง,75,75,,Maxxlife By Wellgate,,lazada,4828666363,100277958030
https://www.lazada.co.th/products/nimnim-5-127899-i4779693337.html,NIMNIM นิ่มนิ่ม เส้นหมี่ไข่ขาว ไร้แป้ง ไร้ไขมัน แพ็ค 5 ชิ้น #127899,เส้นหมี่ไข่ขาว,กรุงเทพมหานคร,4.9787234042553195,46,151 ชิ้น,,469,420,10%,GMMOShopping,mall,lazada,4779693337,100180329
https://www.lazada.co.th/products/whith-noodle-nimnimketo-keto-i3521361539.html,"เส้นไข่ขาวนิ่มนิ่ม ข้าวไข่ขาว คลีน โลว์คาร์บทานได้ เส้นคีโต Whith Noodle NIMNIM(KETO)เส้นไข่ขาว สปาเก็ตตี้ไข่ขาว ไร้แป้ง,ไขมัน&น้ำตาล""KETO""หมี","เส้นไข่ขาว, ข้าวไข่ขาว",สงขลา,4.9393939393939394,33,573 ชิ้น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว, สปาเก็ตตี้ไข่ขาว, ข้าวไข่มุก",85,79,7%,Mumil Keto Halal,,lazada,3521361539,1000145579
